,cubic,a_cubic,fwhm_cubic,I_cubic_1,tetragonal,a_tetragonal,c_tetragonal,fwhm_tetragonal,I_tetragonal_1,I_tetragonal_2,I_tetragonal_3,I_tetragonal_4
44,0,5.59375,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
45,0,5.578125,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
46,1,5.570520845901834,4.58209342839076,3.79826714,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
47,0,5.53125,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
48,0,5.484375,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
49,0,5.484375,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
50,1,5.650195378152642,3.2978784701604122,5.60378525,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
51,1,5.62488392184825,3.908787889360544,8.86613025,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
52,1,5.681385243229939,3.3528958096620176,6.24267131,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
53,1,5.701830473145606,4.1199547085282715,5.74591043,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
54,1,5.72032657487935,4.842686469138048,7.55514898,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
55,0,5.65625,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
56,1,5.673824580637619,4.194050022749693,6.08637114,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
57,0,5.65625,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
58,0,5.625,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
59,1,5.683293513374834,5.90653350025517,4.28642951,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
60,0,5.59375,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
61,1,5.488304165575295,2.5213980093179127,3.68426118,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
62,1,5.430131172268249,2.988622810502983,4.12010131,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
63,0,5.53125,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
64,1,5.708363983164413,3.905822557837099,2.03518078,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
