,y_0,h_1,p_1,w_1,h_2,p_2,w_2,h_3,p_3,w_3,h_4,p_4,w_4,h_5,p_5,w_5,h_6,p_6,w_6,h_7,p_7,w_7,h_8,p_8,w_8,h_9,p_9,w_9,h_10,p_10,w_10,h_11,p_11,w_11,h_12,p_12,w_12,h_13,p_13,w_13,h_14,p_14,w_14,h_15,p_15,w_15,h_16,p_16,w_16,h_17,p_17,w_17,h_18,p_18,w_18,h_19,p_19,w_19,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,A_13,A_14,A_15,A_16,A_17,A_18,A_19
145,-249.98672099280807,5805.550140378741,104.52002214964386,5.046444137987163,1912.890953318075,115.00003476829423,6.703024196790206,1658.1906744597613,140.71590783051818,5.218375151432202,1392.7600635040424,153.25298274702462,6.287982727886232,485.1737176390735,186.54649967918837,20.05923393385536,193.22400764840515,198.93557244992127,34.94457441851632,4940.104188906919,235.1881591048699,10.24651378745128,17361.489826658133,254.9969910010657,10.802352547406842,79952.13570760847,279.0485063966567,12.314509904509087,74590.21827072283,287.5935461209482,5.8777705066620065,4010.0498664111255,347.5727255545277,13.225198253820881,17390.59988468871,377.53781721617787,15.679458257956968,8146.198992639125,385.98363894228993,7.013930295061666,4025.108554934745,429.6113901941519,21.9999992925121,2216.7767549932896,460.0000428750198,21.921980812940117,3033.9856779176876,541.8035391157368,26.54388080772481,404.9373030870636,618.4885691496888,14.172775892818596,929.0342746275888,646.9020922152297,19.99997072434344,1623.1354095907675,698.9999999874816,21.844425613017712,73437.65229452384,32140.37462514613,21690.007394629476,21952.176175939105,24395.040532899886,16925.08176350568,126882.62981839309,470105.433966695,2467954.4270596774,1098966.4584961392,132935.78318555333,683495.3284430782,143220.89863871745,221967.91293152387,121812.45226912286,201868.18535742754,14385.754354039385,46574.80344215903,88876.16694571143
146,-229.35854120336722,5936.059350134857,104.84530497224691,7.155064697823009,919.7243628476232,119.89171105820728,9.230898237592813,1571.852145949535,139.28419982350232,3.76164778700052,1789.8988070698558,151.85853456080457,7.585639681217131,701.7347592075126,178.6552527331973,9.490782886530857,674.4617000530845,192.00271824572974,14.140149201868445,6017.394241140095,242.6952142981344,20.336437265859292,12172.063668082608,254.87035831293824,11.420712204967575,70334.70509205817,278.59153394207095,12.270641622214356,61119.58434723034,287.39127843453434,6.133451476170515,2979.0797026432388,345.33001794108304,12.611759333677316,15831.70776993956,376.90560760618143,17.529917798960618,9319.22295176446,386.40983623478024,7.5405987227491975,4117.97386196361,432.35358352935583,21.998417527982085,2107.613459779891,460.005224943509,20.59752078031196,2602.745930395144,541.2683641440518,26.485553142639482,526.9544623822806,619.3446803848468,22.22950701787976,643.0500637558855,653.3824822553019,19.809296641267338,1350.4835027287595,698.6649595586391,20.903950642288812,106463.74372150796,21280.97826968457,14821.076724064998,34033.81412120575,16694.17499912249,23905.68645694794,306742.0188347854,348455.51079176663,2163350.4448822555,939669.7799497059,94177.6244116656,695660.8749138988,176147.0872838519,227072.71912527783,108816.77417344402,172794.83535037635,29362.487996616703,31930.357081501414,70763.22032315207
147,-377.32218603845865,6375.388313754202,104.77980635780271,5.670721516856247,3117.51589869359,116.70511423239445,6.974825660132904,1567.3284533803158,137.4662130198452,6.190985928430273,1760.0727389511992,150.48782566491238,9.338497739610164,1497.7396154340297,187.78368911927524,13.621800806231912,797.3949168127164,203.42633154831006,2.7158209677116782,7231.456997753031,244.99999999999997,20.065617907599485,10187.04661105843,254.99999999999997,9.713002152252125,66361.99714504601,279.2073387298818,12.415013869563326,59612.402798509174,288.0762333788933,5.74603156439148,3990.202737916465,348.75989709452625,14.636005474360804,15093.82696228628,379.5955585242491,16.67739643593525,6823.837170581145,388.3560925364135,6.810398357121364,4261.30904938106,431.1816280132774,21.999999999999996,2566.792588031885,460.00000000000006,17.2357112901564,2421.6263542375377,542.0304611684337,29.79417706019337,483.5732776513643,612.9332954932262,14.856790810426558,946.6504724756145,643.6538607433935,19.999999999999996,1637.7702950013381,698.1747731201392,24.999999999999996,90622.26157814378,54504.45077969793,24322.587193169988,41200.033442698026,51140.00621973552,5428.308657702522,363720.91944263055,248022.86074752157,2065173.724225569,858607.2846547618,146388.66819829086,630982.8472734438,116490.65977420686,234993.39050262925,110894.47812980425,180854.1433592423,18008.487394089803,47458.016810003406,102632.0332200277
148,-179.28245357055684,7262.760380330725,103.57359220339485,5.316854970897289,4005.510177305611,115.00000000000001,7.1257191871214705,2005.5957805147048,139.63017923368045,10.039606632002576,680.581612993814,154.3891318949447,2.7158204999998934,331.2013694835412,189.99999999999997,2.7158204999998934,1391.7203693670488,192.25373301505044,17.788461203707644,7371.571089742246,244.99999999999997,20.5957547779647,11132.472046980387,254.99999999999997,9.994186551146448,69348.08494608481,279.13529349893514,12.319844093388937,56908.74616513167,287.74272518505325,5.724296218350696,4181.964279969214,349.8428164542076,13.367052482380965,16995.287901639793,379.99999999999994,16.720151343379058,9252.271816203698,389.9320021788609,7.109586740768624,4730.464287762093,431.284285623249,21.999999999999996,3466.901301722108,460.00000000000006,14.64080711022216,2216.4829022585113,544.5818198636306,25.76232374758175,441.1415008575837,613.089213379809,13.216860948383093,922.4960816328004,643.0000000000001,19.999999999999996,1871.5334866756693,698.9999999999999,23.969490891422417,96793.5601905649,71544.53695887183,50471.94466054268,4633.095029766507,2254.6706956363255,62055.50279600424,380564.00123821036,278887.46788380167,2141556.9035479673,816565.5446104803,140121.8641291705,712292.9802120215,164885.5793381403,260865.34178840643,127232.0225813529,143132.86135404138,14614.910882669044,46247.09522914169,112446.60459835129
149,-292.59368588490486,8064.054743089653,104.06732173524195,5.250732410618844,4773.772566144113,115.0013171121768,6.416108737754437,2196.615911117562,136.2214013334061,8.717991528429579,1441.3645751179183,153.3077046856928,8.10443464312529,824.7860256201103,175.000000000037,5.7649105384496915,2009.637059761729,192.33363471722285,12.34679625148702,7547.314429192967,244.99999995610554,26.026937005839184,10086.395580660897,254.99999999999906,10.393438909386695,56909.179032457665,278.8690706326781,12.08721053325586,41381.96844203239,287.9391300833513,5.980602520261764,4110.5389913752615,349.9999999862043,15.141633548944466,16366.587115415121,379.9976835833171,16.657370954756157,10420.692223460568,391.18663068577456,7.567365784425147,4802.304096721523,428.26137308764123,21.999999999975483,4804.836003957569,460.00000000000074,15.606690873388667,1984.1169820662394,546.0197580546716,26.622357632701213,671.9027172903371,613.7978244694534,17.82587153336962,941.6447119620618,648.5336097956621,19.999999999946283,1720.8052979948268,698.4951863511675,20.61362503867601,106136.13968902704,76775.62739870392,48002.12924302458,29281.04031541819,11918.560364870104,62195.9128808008,492385.7080633488,262775.6982238639,1724242.4832682526,620363.1876490443,156013.23337657566,683367.8109286287,197665.6615651047,264827.0071085109,187966.01386957068,132404.7975775634,30022.5173157568,47207.06519309057,88915.20633445776
150,-306.3533813911132,8483.142977999782,103.85654318371854,5.845459753072628,5468.32392540768,115.33292579444576,8.522727053284541,2511.895850240695,138.7685787271978,14.535087867475434,143.88658875072667,162.48997839183824,23.289369486589273,1612.1067045890313,188.28041456900246,12.366036377853673,14.334454454535281,198.70791206084783,34.53142915602775,6721.5368296602655,239.8280747481521,26.832499585100603,9052.953933497427,254.99995387995494,10.54758731083809,45647.85022155784,278.8815314030589,12.202677495343446,38843.72029849342,288.495330340898,5.798334658455254,3985.3455094641977,349.63321900570946,15.974817620732114,12930.833334752677,379.9943928504041,16.873414340192408,8835.434624491516,392.3736728303573,8.220264074044582,4366.185149575927,424.56605614571714,21.58662531292668,5135.673559703125,460.4298598311937,17.596799164818567,1512.8513261425637,547.438172123872,26.943200786049882,702.7896510844544,619.9865912111669,22.39119006756459,452.2569210851745,654.7049871644303,15.842564774953036,1560.8900673369858,697.9746530997496,24.994446963415932,124298.35917005582,116821.49159096193,91518.56970501313,8399.781357364895,49970.562493075304,1240.75392056468,452084.53215742385,239349.96796648458,1396257.1077924077,564565.1031108093,159584.90938897643,546914.476955675,182055.42352942433,236252.73003383024,226527.54708081874,102172.81807956133,39445.046133277436,17959.76490634952,97792.55275855916
151,-403.8867027818591,8822.088428341938,103.31058349304212,5.95180874627897,6686.0441335661435,115.00000000000001,8.515245641190907,2860.0415944400365,138.19852269722318,12.318058291578462,115.10185207003684,160.3382121630873,24.7596436964884,1692.7898019360605,189.27110130164243,14.901715210238995,590.6552694176243,204.9999999999896,9.253498418793347,7309.947388856665,242.363004075543,25.72639997226061,6755.096662385159,254.99999999999997,9.86731474257955,35875.21491256533,278.473597912616,12.428441525145756,27803.540575063238,288.73668396333335,6.12413247170274,4094.465055668668,349.99999999999875,16.4810510874769,12240.742948679026,379.99999999999994,17.303740035965394,7334.258545454091,393.52530830563853,8.334472440867382,4531.233454621063,422.9436032196612,21.99999999999987,5540.472234745118,462.69853399563834,18.97503668948306,1297.9516869817242,545.5043158426541,30.450826520273722,795.6564183650038,615.5567146722906,23.062983609243947,420.7994659197955,650.8092948169265,18.725985532387902,1496.8401704255948,698.9999999999999,24.99999971925385,131616.4910257616,142710.64001506788,88308.91286128231,7143.591908063383,63230.88020117874,13700.296684794093,471393.08000314236,167078.46763504794,1117637.8956228925,426810.02748747,169150.00257797173,530930.5236283441,153223.1070113061,249878.59371875387,263523.4947410534,99071.2280789258,45997.1575759708,19751.941817050756,93800.54629144134
152,-409.33276104290366,7479.356889929469,103.98759858918083,5.355754545934533,5173.000130590324,115.00000000000001,8.222589353243857,2210.054410462144,137.1428856421732,12.076565914054013,860.9520919566955,150.0000000000002,7.264322118170708,2139.782624636681,186.14906619248956,13.257216870790915,1517.4762185091142,204.99999999999997,9.422430007073043,6864.01490396167,239.59765276985095,24.89706010859283,5904.658039600638,254.99999999999997,10.114700337418581,23947.974563407166,278.0573870280134,12.50141688806993,17489.37993754843,289.3386184701168,5.967492867850256,2978.2810772257353,344.19922489312836,15.937207295354385,10392.975344879678,379.99999999999994,22.430491673872037,3985.5829015952036,394.3269750373433,8.75087317860114,4034.107401326698,428.8396982457676,19.32403446832465,5069.590741018911,465.8710186431919,20.140671807439404,1039.2018533887885,550.4188690321503,35.93600587895642,889.4056257962166,619.9999999999999,24.999999999999996,478.7249063929658,659.9997754324942,19.999999999999996,1206.551889716702,697.8685250481994,16.174731365808857,100409.51193139736,106620.57617788743,66901.57717736857,15677.038086795634,71106.93377150704,35840.556789098504,428367.2101093174,149705.4827214434,750443.4309163594,261611.15321099668,118978.32153517575,584344.0477291757,87424.50281169928,195404.78485689414,255939.1880202646,93609.4411332487,55735.23223091688,23999.707722693736,48918.4868433579
153,-371.90824978708025,6963.935040574582,104.2749678954174,5.358264574682691,5376.4221207790815,115.21725919540462,7.906251835663279,2216.9970865937994,139.5527598676594,9.888488507895387,655.203514312641,155.36084262063298,2.7158204999998934,983.552060203013,175.00000008137542,11.195040351667975,2615.963256427751,197.51362621314317,14.810415316135561,6914.73205111293,240.7950252722367,24.23629612632008,5046.474343054965,254.99999999999997,9.183852268352036,23390.481832380858,277.36740991335097,12.520268072779158,18571.134291473085,288.5733887878544,6.908177846001134,3887.5429761226364,346.15858204511505,16.240748450148146,11676.373929691872,379.99999999999994,19.839871296481522,4757.0827798238415,393.87381726393494,8.326348895810133,4169.301634021683,424.33582231906763,21.999999999999105,5335.959251525177,464.1159347479255,21.751357294332944,871.4234632302396,554.9999999999999,42.202863438836026,624.1813300286088,619.9999999999999,21.31433892381816,426.81823502485025,658.9627564983191,19.999999999999996,1198.0335969776243,698.9999999999999,20.907656496712676,93533.8475299101,106550.1185257616,54952.18554112824,4460.3322918085305,27600.245807135954,97115.5582718885,420079.5499947911,116172.38161874018,734078.8812812613,321582.10545739287,158260.00568507623,580679.8811636987,99285.367575498,229919.5659486782,290930.1968974976,92185.17871582124,33348.213693375146,21397.49312082778,62786.212812351805
154,-461.8746920980929,6481.312776455119,103.8838372912179,5.677484068076497,5240.767468355224,115.00156278308629,8.924789484764617,2579.04660943726,138.83282440727115,10.68064781534298,499.33499945313685,157.50613462148686,3.0198706060843095,509.69896726452527,189.99999999999997,4.367578795670308,2941.495055674538,202.42911031914142,24.970689334682785,6038.663829607712,244.99034466231885,20.540411598306935,3722.3745964003624,254.999999952566,9.363308182694144,17419.26665725076,277.0689729170983,12.329010351223976,14378.454030504518,289.46740681276736,6.9609305551863025,2421.8716743373925,339.35389206478754,14.654827061376904,9675.700879390086,375.4774577962424,24.31370915610436,3849.396857699248,392.9288211622283,10.0706819254816,3586.3311241030847,422.6965831052771,21.993744653167646,4894.13245920793,464.5482111689894,25.522595313943853,739.7660521901838,551.0023329173562,44.79409300604521,879.7030919167864,611.245855038715,24.99873317609753,626.3991474694675,651.0501786643904,19.996820775280746,1367.3229657062006,698.887199270524,21.971376395961038,92237.77933869863,117241.88859252636,69047.30305104774,3779.812673453193,5580.131540230702,184114.75249212654,310913.75032784155,87365.37145788861,538329.3009501833,250881.9569000516,88965.52783662875,589689.7586944983,97172.08043185953,197714.94489343592,313105.349584682,83062.51548764894,55124.42262797264,31398.004425932013,75304.04524720507
